period,apps,day,hour,activity_time,statistic,category
2018.2,Wolt,Mondays-Thursdays,day (8-18),2.70805555555556,Std.Dev.,Delivery
2019.1,Wolt,Mondays-Thursdays,day (8-18),2.63472222222222,Std.Dev.,Delivery
2019.2,Wolt,Mondays-Thursdays,day (8-18),2.37138888888889,Std.Dev.,Delivery
2020.1,Wolt,Mondays-Thursdays,day (8-18),2.79,Std.Dev.,Delivery
2020.2,Wolt,Mondays-Thursdays,day (8-18),2.81055555555556,Std.Dev.,Delivery
2018.1,Uber,Mondays-Thursdays,night (18-8),1,Std.Dev.,Transportation
2018.2,Uber,Mondays-Thursdays,night (18-8),1.17361111111111,Std.Dev.,Transportation
2019.1,Uber,Mondays-Thursdays,night (18-8),1.18333333333333,Std.Dev.,Transportation
2019.2,Uber,Mondays-Thursdays,night (18-8),1.14944444444444,Std.Dev.,Transportation
2020.1,Uber,Mondays-Thursdays,night (18-8),1.35666666666667,Std.Dev.,Transportation
2020.2,Uber,Mondays-Thursdays,night (18-8),1.42027777777778,Std.Dev.,Transportation
2018.1,Bolt Driver,Mondays-Thursdays,night (18-8),1.03,Std.Dev.,Transportation
2018.2,Bolt Driver,Mondays-Thursdays,night (18-8),1.16944444444444,Std.Dev.,Transportation
2019.1,Bolt Driver,Mondays-Thursdays,night (18-8),1.23666666666667,Std.Dev.,Transportation
2019.2,Bolt Driver,Mondays-Thursdays,night (18-8),1.42055555555556,Std.Dev.,Transportation
2020.1,Bolt Driver,Mondays-Thursdays,night (18-8),1.26166666666667,Std.Dev.,Transportation
2020.2,Bolt Driver,Mondays-Thursdays,night (18-8),1.41666666666667,Std.Dev.,Transportation
2018.1,FREE NOW,Mondays-Thursdays,night (18-8),0.724166666666667,Std.Dev.,Transportation
2018.2,FREE NOW,Mondays-Thursdays,night (18-8),0.829166666666667,Std.Dev.,Transportation
2019.1,FREE NOW,Mondays-Thursdays,night (18-8),0.908611111111111,Std.Dev.,Transportation
2019.2,FREE NOW,Mondays-Thursdays,night (18-8),0.876388888888889,Std.Dev.,Transportation
2020.1,FREE NOW,Mondays-Thursdays,night (18-8),0.825277777777778,Std.Dev.,Transportation
2020.2,FREE NOW,Mondays-Thursdays,night (18-8),0.8025,Std.Dev.,Transportation
2018.1,iTaxi,Mondays-Thursdays,night (18-8),0.460833333333333,Std.Dev.,Transportation
2018.2,iTaxi,Mondays-Thursdays,night (18-8),0.529166666666667,Std.Dev.,Transportation
2019.1,iTaxi,Mondays-Thursdays,night (18-8),0.580555555555556,Std.Dev.,Transportation
2019.2,iTaxi,Mondays-Thursdays,night (18-8),0.782222222222222,Std.Dev.,Transportation
2020.1,iTaxi,Mondays-Thursdays,night (18-8),0.899166666666667,Std.Dev.,Transportation
2020.2,iTaxi,Mondays-Thursdays,night (18-8),0.854444444444444,Std.Dev.,Transportation
2019.2,Glover,Mondays-Thursdays,night (18-8),2.12555555555556,Std.Dev.,Delivery
2020.1,Glover,Mondays-Thursdays,night (18-8),2.03944444444444,Std.Dev.,Delivery
2020.2,Glover,Mondays-Thursdays,night (18-8),2.17583333333333,Std.Dev.,Delivery
2018.1,Takeaway,Mondays-Thursdays,night (18-8),1.12611111111111,Std.Dev.,Delivery
2018.2,Takeaway,Mondays-Thursdays,night (18-8),0.995277777777778,Std.Dev.,Delivery
2019.1,Takeaway,Mondays-Thursdays,night (18-8),1.15361111111111,Std.Dev.,Delivery
