gender,age,country,period,apps,n_unique_users,students,parents_of_children_0_4_years,parents_of_children_5_10_years,women_planning_a_baby,standard,premium_i_phone,other_premium,category
men,18-30,Poland,2019.1,Uber,11293,0.0448950677410785,0.0695120871336226,0.00602142920393164,0,0.922164172496237,0.0526875055344018,0.0251483219693616,Transportation
men,18-30,Ukraine,2019.1,Uber,4126,0.0538051381483277,0.043141056713524,0.00339311682016481,0,0.928017450315075,0.0630150266602036,0.00896752302472126,Transportation
men,18-30,Other,2019.1,Uber,1672,0.0245215311004785,0.0526315789473684,0.00239234449760766,0,0.932416267942584,0.0424641148325359,0.0251196172248804,Transportation
men,31-50,Poland,2019.1,Uber,10574,0.0131454511064876,0.0133345942878759,0.0592018157745413,0,0.927558161528277,0.0524872328352563,0.0199546056364669,Transportation
men,31-50,Ukraine,2019.1,Uber,4048,0,0.012598814229249,0.0728754940711462,0,0.931571146245059,0.0543478260869565,0.0140810276679841,Transportation
men,31-50,Other,2019.1,Uber,1647,0,0.00728597449908925,0.0631451123254402,0,0.939283545840923,0.042501517911354,0.0182149362477232,Transportation
men,51-64,Poland,2019.1,Uber,1075,0,0,0,0,0.945116279069767,0.0325581395348837,0.0223255813953488,Transportation
men,51-64,Ukraine,2019.1,Uber,412,0,0,0,0,0.946601941747573,0.0218446601941748,0.0315533980582524,Transportation
men,51-64,Other,2019.1,Uber,156,0,0,0,0,0.948717948717949,0.0128205128205128,0.0384615384615385,Transportation
women,18-30,Poland,2019.1,Uber,1582,0.027180783817952,0.0126422250316056,0.00316055625790139,0.00758533501896334,0.922250316055626,0.0625790139064475,0.0151706700379267,Transportation
women,18-30,Ukraine,2019.1,Uber,561,0.017825311942959,0.0071301247771836,0.0053475935828877,0.0053475935828877,0.925133689839572,0.053475935828877,0.0213903743315508,Transportation
women,18-30,Other,2019.1,Uber,234,0.00854700854700855,0.00427350427350427,0,0.00427350427350427,0.935897435897436,0.0512820512820513,0.0128205128205128,Transportation
women,31-50,Poland,2019.1,Uber,1548,0,0.00839793281653747,0.0264857881136951,0.00193798449612403,0.928940568475452,0.0658914728682171,0.0051679586563308,Transportation
women,31-50,Ukraine,2019.1,Uber,558,0,0.00716845878136201,0.028673835125448,0,0.913978494623656,0.0734767025089606,0.0125448028673836,Transportation
women,31-50,Other,2019.1,Uber,243,0,0.00411522633744856,0.0288065843621399,0.00411522633744856,0.938271604938272,0.0411522633744856,0.0205761316872428,Transportation
women,51-64,Poland,2019.1,Uber,140,0,0,0,0,0.95,0.0214285714285714,0.0285714285714286,Transportation
women,51-64,Ukraine,2019.1,Uber,29,0,0,0,0,0.96551724137931,0,0.0344827586206896,Transportation
men,18-30,Poland,2019.2,Uber,12205,0.0459647685374846,0.0696435886931585,0.00606308889799263,0,0.922490782466202,0.0527652601392872,0.0247439573945104,Transportation
men,18-30,Ukraine,2019.2,Uber,4343,0.055491595671195,0.0439788164862998,0.00414460050656228,0,0.928620769053649,0.0630900299332259,0.00828920101312458,Transportation
men,18-30,Other,2019.2,Uber,1744,0.025802752293578,0.0544724770642202,0.00286697247706422,0,0.932339449541285,0.0424311926605505,0.025229357798165,Transportation
men,31-50,Poland,2019.2,Uber,11183,0.0135026379325762,0.0140391665921488,0.0592864168827685,0,0.9282840025038,0.0526692300813735,0.0190467674148261,Transportation
men,31-50,Ukraine,2019.2,Uber,4287,0,0.013296011196641,0.073011429904362,0,0.932120363890833,0.0545836249125262,0.013296011196641,Transportation
